title,price,reviews,url,sales
 Tênis Sapatênis Masculino adidas Yeezy Boost 2017. ,50,3,https://produto.mercadolivre.com.br/MLB-920203805-tnis-sapatnis-masculino-adidas-yeezy-boost-2017-_JM,1023
 Tênis Supreme Cano Alto Bota Neymar Jr Masculino Barato ,50,106,https://produto.mercadolivre.com.br/MLB-875232429-tnis-supreme-cano-alto-bota-neymar-jr-masculino-barato-_JM,1062
 Tênis Mizuno Wave Prophecy 2 Masculino Original Frete Grátis ,148,279,https://produto.mercadolivre.com.br/MLB-831207675-tnis-mizuno-wave-prophecy-2-masculino-original-frete-gratis-_JM,2987
 Tenis Masculino E Feminino adidas Superstar Foundation ,100,104,https://produto.mercadolivre.com.br/MLB-835794421-tenis-masculino-e-feminino-adidas-superstar-foundation-_JM,1198
 Tênis adidas Superstar Colorido Foundation Homem E Mulher ,60,212,https://produto.mercadolivre.com.br/MLB-873024198-tnis-adidas-superstar-colorido-foundation-homem-e-mulher-_JM,3501
 Kit 2 Sapatênis Tênis Polo Joy Masculino Frete Grátis ,150,11,https://produto.mercadolivre.com.br/MLB-909041073-kit-2-sapatnis-tnis-polo-joy-masculino-frete-gratis-_JM,227
 Tênis Nike Shox Junior Deliver Avenue Nz Masculino Feminino! ,138,6,https://produto.mercadolivre.com.br/MLB-905592278-tnis-nike-shox-junior-deliver-avenue-nz-masculino-feminino-_JM,101
 Tênis adidas Yezzy Boost Masculino Feminino Sapatênis ! ,45,,https://produto.mercadolivre.com.br/MLB-922862486-tnis-adidas-yezzy-boost-masculino-feminino-sapatnis--_JM,57
 Tenis Sapatenis Sapato Masculino Iate Polo + 1 Cinto ,80,6,https://produto.mercadolivre.com.br/MLB-902889392-tenis-sapatenis-sapato-masculino-iate-polo-1-cinto-_JM,91
 Sapatenis Tenis Sapatilha Polo Iate Masculino Atacado 2017 ,77,,https://produto.mercadolivre.com.br/MLB-915418733-sapatenis-tenis-sapatilha-polo-iate-masculino-atacado-2017-_JM,19
 Tênis Mizuno Wave Prophecy 6 Masculino 2017 Original 5 ,204,56,https://produto.mercadolivre.com.br/MLB-857569050-tnis-mizuno-wave-prophecy-6-masculino-2017-original-5-_JM,779
 Nmd Runner R1 Pk Boost adidas Masculino Feminino Tendência ! ,89,12,https://produto.mercadolivre.com.br/MLB-911792004-nmd-runner-r1-pk-boost-adidas-masculino-feminino-tendncia--_JM,568
 Tênis Masculino Nike Air Force Cano Longo Supreme Barato ,52,154,https://produto.mercadolivre.com.br/MLB-842501065-tnis-masculino-nike-air-force-cano-longo-supreme-barato-_JM,1575
 Tênis Mizuno Wave Prophecy 6 Original Masculino Frete Grátis ,198,2,https://produto.mercadolivre.com.br/MLB-914799204-tnis-mizuno-wave-prophecy-6-original-masculino-frete-gratis-_JM,144
 Sapatênis Tênis Polo Joy Masculino Varias Cores ,77,11,https://produto.mercadolivre.com.br/MLB-909041224-sapatnis-tnis-polo-joy-masculino-varias-cores-_JM,210
url,sales,price,reviews,title
https://produto.mercadolivre.com.br/MLB-881359623-tnis-adidas-superstar-colorido-homem-e-mulher-novo-na-caixa-_JM,1890,50,132, Tênis adidas Superstar Colorido Homem E Mulher Novo Na Caixa 
https://produto.mercadolivre.com.br/MLB-866979238-kit-c-01-tenis-sapatenis-polo-joy-masculino-c-01-chinelo-_JM,4288,100,419, Kit C/ 01 Tenis Sapatenis Polo Joy Masculino C/ 01 Chinelo 
https://produto.mercadolivre.com.br/MLB-842318222-tenis-masculino-sapatenis-masculino-na-promoco-frete-gratis-_JM,1201,120,113, Tenis Masculino Sapatenis Masculino Na Promoção Frete Gratis 
https://produto.mercadolivre.com.br/MLB-877268023-tnis-sapatnis-masculino-adidas-yeezy-bost-yzy-2017-_JM,1092,50,44, Tênis Sapatênis Masculino adidas Yeezy Bost Yzy 2017 
https://produto.mercadolivre.com.br/MLB-830059900-tnis-nike-shox-junior-4-molas-2017-masculino-original-_JM,2737,138,250, Tênis Nike Shox Junior 4 Molas 2017 Masculino Original 
https://produto.mercadolivre.com.br/MLB-882572633-tenis-nike-air-max-na-caixa-gel-bolha-foto-original-masculin-_JM,1994,57,62, Tenis Nike Air Max Na Caixa Gel Bolha Foto Original Masculin 
https://produto.mercadolivre.com.br/MLB-853194945-tnis-nike-confortavel-masculino-mega-barato-70-off-_JM,1511,60,56, Tênis Nike Confortavel Masculino Mega Barato 70% Off 
https://produto.mercadolivre.com.br/MLB-853735376-tenis-airmax-lancamento-bolha-de-ar-gel-masculino-e-feminino-_JM,7401,80,579, Tenis Airmax Lançamento Bolha De Ar Gel Masculino E Feminino 
https://produto.mercadolivre.com.br/MLB-909041224-sapatnis-tnis-polo-joy-masculino-varias-cores-_JM,210,77,11, Sapatênis Tênis Polo Joy Masculino Varias Cores 
https://produto.mercadolivre.com.br/MLB-746574488-tnis-bota-adventure-masculino-social-em-couro-salazari-_JM,7763,60,936, Tênis Bota Adventure Masculino Social Em Couro Salazari 
https://produto.mercadolivre.com.br/MLB-856916950-tenis-nike-air-max-90-original-masculino-importado-na-caixa-_JM,673,150,31, Tenis Nike Air Max 90 Original Masculino Importado Na Caixa 
https://produto.mercadolivre.com.br/MLB-841566792-tnis-sapatnis-masculino-adidas-yeezy-bost-2017-_JM,3847,50,267, Tênis Sapatênis Masculino adidas Yeezy Bost 2017. 
https://produto.mercadolivre.com.br/MLB-831207675-tnis-mizuno-wave-prophecy-2-masculino-original-frete-gratis-_JM,2987,148,279, Tênis Mizuno Wave Prophecy 2 Masculino Original Frete Grátis 
https://produto.mercadolivre.com.br/MLB-922427161-tnis-de-corrida-new-balance-530v2-masculino-azul-escuro-_JM,327,200,1, Tênis De Corrida New Balance 530v2 Masculino Azul Escuro 
https://produto.mercadolivre.com.br/MLB-922387518-tnis-new-balance-373-masculino-verde-_JM,265,200,1, Tênis New Balance 373 Masculino Verde 
https://produto.mercadolivre.com.br/MLB-912752395-sapatenis-masculino-tenis-adidas-em-couro-lancamento-2017-_JM,1015,90,20, Sapatenis Masculino Tenis adidas Em Couro Lançamento 2017 
https://produto.mercadolivre.com.br/MLB-843921705-tenis-nike-suketo-sb-cano-alto-skate-casual-estilo-bota-_JM,1237,59,609, Tenis Nike Suketo Sb Cano Alto Skate Casual Estilo Bota 
https://produto.mercadolivre.com.br/MLB-854522523-tnis-skatista-masculino-nike-sb-frete-gratis-_JM,1615,100,108, Tênis Skatista Masculino-nike Sb Frete Gratis 
https://produto.mercadolivre.com.br/MLB-868858310-tnis-masculino-sandro-moscoloni-polo-sport-preto-_JM,230,70,33, Tênis Masculino Sandro Moscoloni Polo Sport - Preto 
https://produto.mercadolivre.com.br/MLB-873024198-tnis-adidas-superstar-colorido-foundation-homem-e-mulher-_JM,3501,60,212, Tênis adidas Superstar Colorido Foundation Homem E Mulher 
https://produto.mercadolivre.com.br/MLB-923465285-tenis-sapatenis-sapatilha-polo-joy-masculino-_JM,33,77,, Tenis Sapatenis Sapatilha Polo Joy Masculino 
https://produto.mercadolivre.com.br/MLB-892645226-tnis-mizuno-wave-prophecy-2-masculino-promoco-imperdivel-_JM,563,148,38, Tênis Mizuno Wave Prophecy 2 Masculino Promoção Imperdível!! 
https://produto.mercadolivre.com.br/MLB-922409600-tnis-casual-new-balance-574-masculino-cinza-_JM,118,250,, Tênis Casual New Balance 574 Masculino Cinza 
https://produto.mercadolivre.com.br/MLB-906554411-sapatenis-tenis-sapatilha-polo-iate-masculino-atacado-_JM,120,77,7, Sapatenis Tenis Sapatilha Polo Iate Masculino Atacado 
https://produto.mercadolivre.com.br/MLB-905592278-tnis-nike-shox-junior-deliver-avenue-nz-masculino-feminino-_JM,101,138,6, Tênis Nike Shox Junior Deliver Avenue Nz Masculino Feminino! 
https://produto.mercadolivre.com.br/MLB-923585874-tnis-polo-joy-masculino-_JM,28,77,2, Tênis Polo Joy Masculino 
https://produto.mercadolivre.com.br/MLB-851221094-tenis-masculino-yeezy-bost-2017-sapatenis-masculino-promoco-_JM,2088,60,153, Tenis Masculino Yeezy Bost 2017 Sapatenis Masculino Promoção 
https://produto.mercadolivre.com.br/MLB-925308297-tnis-nike-shox-junior-4-molas-masculino-promoco-imperdivel-_JM,65,138,1, Tênis Nike Shox Júnior 4 Molas Masculino Promoção Imperdível 
https://produto.mercadolivre.com.br/MLB-849936413-novo-nike-masculino-air-max-gel-17-academia-shox-aproveite-_JM,2229,80,201, Novo Nike Masculino Air Max Gel #17 Academia Shox Aproveite 
https://produto.mercadolivre.com.br/MLB-922433328-tnis-de-corrida-new-balance-680v4-masculino-azul-_JM,84,200,, Tênis De Corrida New Balance 680v4 Masculino Azul 
https://produto.mercadolivre.com.br/MLB-920152740-tnis-sapatnis-polo-bra-masculino-novo-modelo-_JM,34,79,2, Tênis Sapatênis Polo Bra Masculino Novo Modelo! 
https://produto.mercadolivre.com.br/MLB-923267378-tnis-de-corrida-new-balance-680v4-masculino-cinza-_JM,83,200,, Tênis De Corrida New Balance 680v4 Masculino Cinza 
https://produto.mercadolivre.com.br/MLB-901672965-tenis-masculino-3-pares-pronta-entrega-frete-gratis-_JM,171,150,10, Tenis Masculino 3 Pares Pronta Entrega Frete Gratis 
https://produto.mercadolivre.com.br/MLB-842501065-tnis-masculino-nike-air-force-cano-longo-supreme-barato-_JM,1575,52,154, Tênis Masculino Nike Air Force Cano Longo Supreme Barato 
https://produto.mercadolivre.com.br/MLB-925144898-tnis-asics-gel-sendai-feminino-masculino-promoco--_JM,202,74,, Tênis Asics Gel Sendai Feminino Masculino Promoção ! 
https://produto.mercadolivre.com.br/MLB-843791364-nike-shox-deliver-foto-original-masculino-pronta-entrega-_JM,889,124,81, Nike Shox Deliver Foto Original Masculino Pronta Entrega 
https://produto.mercadolivre.com.br/MLB-915936268-tenis-sapatenis-sapato-masculino-kit-3-pares-frete-gratis-_JM,175,150,11, Tenis Sapatenis Sapato Masculino Kit 3 Pares Frete Gratis 
https://produto.mercadolivre.com.br/MLB-901687739-tenis-masculino-sapatenis-sapato-casual-pronta-entrega-_JM,152,60,12," Tenis Masculino, Sapatenis Sapato Casual Pronta Entrega. "
https://produto.mercadolivre.com.br/MLB-901651735-tenis-masculino-sapatenis-sapato-iate-promoco-2017-_JM,61,150,1, Tenis Masculino Sapatenis Sapato Iate Promoção 2017 
